,County,Milk_kg,Unit price_Kshs,Total value_Kshs,Beef_kg,Unit price_Kshs,Total value_Kshs,Wool_kg,Unit price_Kshs,Total value_Kshs,chevon_kg,Unit price_Kshs,Total value_Kshs,Mutton_kg,Unit price_Kshs,Total value_Kshs,Pork_kg,Unit price_Kshs,Total value_Kshs,Rabbit meat_kg,Unit price_Kshs,Total value_Kshs,Poultry meat_kg,Unit price_Kshs,Total value_Kshs,Camel meat_kg,Unit price_Kshs,Total value_Kshs,Honey_kg,Unit price_Kshs,Total value_Kshs,Wax_kg,Unit price_Kshs,Total value_Kshs,Eggs_Trays,Unit price_Kshs,Total value_Kshs,Hides_No.,Unit price_Kshs,Total value_Kshs,Skins_No.,Unit price_Kshs,Total value_Kshs
1,Baringo,"37,640,770",51,"1,913,405,808","2,562,973",600,"1,537,783,800","1,236",20,"24,720","1,762,579",700,"1,233,805,300","388,359",700,"271,851,300","1,680",400,"672,000","1,546",330,"510,312","414,281",207,"85,618,073","127,037",500,"63,518,500","970,623",600,"582,373,800","97,062",800,"77,649,600","309,685",450,"139,358,250","11,618",200,"2,323,600","107,111",50,"5,355,550"
2,Bomet,"130,899,083",42,"5,497,761,486","198,671",500,"99,335,250","3,250",30,"97,500","4,315,409",700,"3,020,786,300","4,584,309",700,"3,209,016,300","30,461",600,"18,276,600","7,020",350,"2,457,000","1,574,412",433,"682,245,200",,, -   ,"650,698","1,000","650,698,000","162,675",250,"40,668,750","1,355,622",450,"610,029,900",,200, -   ,,20, -   
3,Bungoma,"87,682,416",67,"5,845,494,400","6,545,685",502,"3,287,388,467","3,060",100,"306,000","504,905",644,"325,383,222","498,169",639,"318,274,639","8,249,399",502,"4,143,031,498","99,063",413,"40,946,040","10,537,864",452,"4,761,553,363",,, -   ,"1,623,264","1,000","1,623,264,000","47,379","1,167","55,275,500","3,366,369",600,"2,019,821,400","78,582","1,200","94,298,400","66,400",100,"6,640,000"
4,Busia,"56,934,440",67,"3,822,740,971","3,469,611",500,"1,734,805,500",,, -   ,"224,968",621,"139,801,543","103,772",586,"60,780,743","4,474,080",430,"1,923,854,400",655,557,"364,929","4,231,717",312,"1,319,892,683",,, -   ,"82,259",871,"71,682,843","22,368",300,"6,710,400","1,706,858",571,"975,347,429","17,271",156,"2,694,276","12,357",30,"370,710"
5,Elgeyo Marakwet,"63,338,812",50,"3,166,940,615","652,278",650,"423,980,570","284,240",240,"68,217,480","1,765,408",750,"1,324,056,000","298,999",750,"224,249,250","2,273",550,"1,250,150","1,248",350,"436,800","2,639,804",467,"1,231,908,533","5,837",700,"4,085,550","291,722",750,"218,791,500","17,735",500,"8,867,500","7,589,291",500,"3,794,645,500","5,394",300,"1,618,200","28,117",100,"2,811,700"
6,Embu,"111,285,171",55,"6,120,684,405","2,685,188",600,"1,611,112,500",,, -   ,"587,091",800,"469,672,800","130,318",600,"78,190,800","1,037,988",500,"518,994,000","17,465",600,"10,479,000","556,327",350,"194,714,450",,, -   ,"749,626",800,"599,700,800","408,814",600,"245,288,400","708,742",350,"248,059,700",,, -   ,,, -   
7,Garissa,"1,022,350",70,"71,564,500","214,000","1,000","214,000,000",,, -   ,"913,645","1,200","1,096,374,000","311,453","1,200","373,743,600",,, -   ,,, -   ,"9,415",600,"5,649,000","1,151,800","1,000","1,151,800,000","29,500","1,000","29,500,000",25,850,"21,250","414,000",480,"198,720,000","4,000",150,"600,000",,, -   
8,Homa Bay,"22,502,846",85,"1,912,741,910","4,046,521",513,"2,073,842,013",,, -   ,"1,108,430",594,"658,130,313","669,313",556,"372,305,356","694,161",531,"368,773,031","3,647",625,"2,279,375","4,792,838",413,"1,977,045,675",,, -   ,"119,189",950,"113,229,550","11,919",159,"1,892,141","3,818,055",494,"1,885,164,656","15,340",500,"7,670,000","8,011",100,"801,100"
9,Isiolo,"85,200,483",77,"6,532,037,030","1,058,942",533,"564,769,067",,, -   ,"1,834,732",717,"1,314,891,267","1,986,773",717,"1,423,853,983","1,602",500,"801,000",404,533,"215,467","205,555",400,"82,222,000","1,482,146",533,"790,477,867","891,767",850,"758,001,950",,267, -   ,"7,235,929",487,"3,521,485,447",30,, -   ,50,, -   
10,Kajiado,"91,808,540",90,"8,262,768,600","4,730,001",700,"3,311,000,700",,, -   ,"3,100,257",800,"2,480,205,600","2,878,962",800,"2,303,169,600","1,724,285",650,"1,120,785,250","4,709","1,000","4,709,000","439,580",383,"168,505,667",,, -   ,"244,250","1,000","244,250,000",,, -   ,"1,101,186",600,"660,711,600","21,450",300,"6,435,000","46,414",60,"2,784,840"
11,Kakamega,"179,075,660",65,"11,639,917,900","6,625,132",453,"2,997,872,230",,, -   ,"148,728",554,"82,420,100","198,228",524,"103,904,510","499,181",385,"192,184,685","18,002",347,"6,249,266","2,293,174",348,"798,094,042",,, -   ,"626,964",867,"543,368,800","10,452",409,"4,273,126","4,208,282",496,"2,086,606,492","33,154",88,"2,900,975","19,355",67,"1,299,550"
12,Kericho,"195,174,022",40,"7,806,960,884","1,591,200",500,"795,600,000","4,715",100,"471,500","381,888",633,"241,862,400","131,040",633,"82,992,000","1,415",500,"707,500",683,400,"273,200","251,866",333,"83,955,233",,, -   ,"902,064",783,"706,616,643","2,865",400,"1,146,000","35,969",450,"16,186,185","63,648",25,"1,591,200","132,600",25,"3,315,000"
13,Kiambu,"380,739,083",47,"17,863,008,653","762,073",400,"304,829,240","22,208",70,"1,554,539","212,260",450,"95,517,090","485,786",450,"218,603,700","4,399,075",350,"1,539,676,285","21,543",500,"10,771,350","2,040,838",450,"918,377,145",,, -   ,"110,468",800,"88,374,160",,, -   ,"10,705,104",400,"4,282,041,520","145,831",525,"76,561,275","79,577",70,"5,570,390"
14,Kilifi,"32,414,925",70,"2,269,044,750","6,671,106",600,"4,002,663,600",,, -   ,"266,976",800,"213,580,800","255,314",800,"204,251,200","132,768","1,000","132,768,000","24,599",500,"12,299,500","667,497",483,"322,623,550",,, -   ,"219,702","1,000","219,702,000","21,970",500,"10,985,000","667,723",480,"320,507,040","13,855",700,"9,698,500","22,672",20,"453,440"
15,Kirinyaga,"65,359,974",54,"3,529,438,596","2,825,280",450,"1,271,376,000",,, -   ,"94,239",500,"47,119,500","28,767",450,"12,945,150","739,872",450,"332,942,400","17,723",250,"4,430,800","1,354,763",343,"465,135,194",,, -   ,"394,015",700,"275,810,500","51,801",500,"25,900,500","2,865,660",350,"1,002,980,930","17,209",, -   ,"17,210",, -   
16,Kisii,"63,179,584",60,"3,790,775,040","1,993,417",555,"1,105,440,503",,, -   ,"311,475",664,"206,706,136","75,440",605,"45,606,909","72,934",500,"36,467,000",729,500,"364,500","453,930",352,"159,563,273",,, -   ,"81,466","1,000","81,466,000","20,465",400,"8,186,000","936,427",450,"421,392,150","14,427",300,"4,328,100","28,139",20,"562,780"
17,Kisumu,"56,094,734",85,"4,768,052,390","4,178,198",500,"2,089,098,850",,, -   ,"758,145",600,"454,887,000","682,032",600,"409,219,200","7,247,672",480,"3,478,882,560","10,343",450,"4,654,350","9,834,006",317,"3,114,101,900",,, -   ,"181,180","1,200","217,416,000","77,650",750,"58,237,500","2,733,057",490,"1,339,197,930","19,433",450,"8,744,850","25,226",85,"2,144,210"
18,Kitui,"44,387,170",70,"3,107,101,900","11,809,102",800,"9,447,281,600",,, -   ,"8,890,826",900,"8,001,743,400","295,843",900,"266,258,502","163,677",700,"114,573,900","16,559",600,"9,935,400","6,693,855",117,"780,949,750","3,846,332",750,"2,884,749,000","752,820","1,000","752,820,000","1,577,254",500,"788,627,000","3,660",300,"1,098,000","42,365",50,"2,118,250","42,365",50,"2,118,250"
19,Kwale,"30,207,057",65,"1,963,458,705","6,130,835",600,"3,678,501,000",,, -   ,"1,788,556",800,"1,430,844,800","372,206",800,"297,764,800","40,924",800,"32,739,200","9,574",775,"7,419,850","1,650,087",458,"756,289,875","204,900",300,"61,470,000","130,469",850,"110,898,650","8,102",200,"1,620,400","391,816",463,"181,214,900","12,574",200,"2,514,800","93,903",20,"1,878,060"
20,Laikipia,"37,516,850",60,"2,251,011,000","3,094,380",583,"1,805,055,000","17,000",100,"1,700,000","1,181,350",633,"748,188,333","771,740",583,"450,181,667","128,070",533,"68,304,000","17,760",533,"9,472,000","3,152,450",489,"1,541,197,778","33,750",717,"24,187,500","114,900",783,"90,005,000","16,250",867,"14,083,333","325,300",533,"173,493,333","30,750",283,"8,712,500","145,301",48,"7,022,882"
21,Lamu,"265,184,143",80,"21,214,731,440","1,830,450",500,"915,225,000",,, -   ,"355,210",600,"213,126,000","189,985",600,"113,991,000","15,000",500,"7,500,000",,600, -   ,"111,162",167,"18,527,000","67,950",800,"54,360,000","52,228","1,000","52,228,000","76,095",600,"45,657,000","4,995",400,"1,998,000","16,515",300,"4,954,500","52,956",50,"2,647,800"
22,Machakos,"38,711,430",60,"2,322,685,800","5,052,950",600,"3,031,770,000",,, -   ,"1,106,006",800,"884,804,800","422,498",800,"337,998,400","483,528",600,"290,116,800","22,593",350,"7,907,718","4,479,159",367,"1,642,358,300","2,850",600,"1,710,000","374,893","1,000","374,893,000","37,489",500,"18,744,500","624,822",450,"281,169,900","36,523",300,"10,956,900","192,757",50,"9,637,850"
23,Makueni,"19,985,706",50,"999,285,300","5,026,834",633,"3,183,661,280",,, -   ,"2,650,742",733,"1,943,877,467","115,892",733,"84,987,467","179,854",700,"125,897,800","18,780",500,"9,390,000","6,119,242",267,"1,631,797,867",,, -   ,"771,915","1,000","771,915,000","4,112","1,000","4,112,000","1,234,778",450,"555,650,100","28,029",420,"11,772,180","82,351",50,"4,117,550"
24,Mandera,"383,229",167,"63,871,500","2,833,720",425,"1,204,331,000",,, -   ,"2,592,000",567,"1,468,800,000","430,990",600,"258,594,000",,, -   ,,, -   ,"5,192,180",584,"3,034,540,756",,, -   ,,, -   ,,, -   ,,, -   ,,, -   ,,, -   
25,Marsabit,"1,973,000",125,"246,625,000","1,150,000",625,"718,750,000",,, -   ,"2,440,800",600,"1,464,480,000","1,055,880",625,"659,925,000",,, -   ,,, -   ,"40,592",592,"24,016,933","431,760",625,"269,850,000","14,695",670,"9,845,650",,, -   ,"49,400",500,"24,700,000","2,435",, -   ,"33,232",, -   
26,Meru,"322,086,366",79,"25,409,035,540","3,600,000",450,"1,620,000,000",,, -   ,"1,198,350",600,"719,010,000","388,292",600,"232,975,200","1,430,640",450,"643,788,000","110,025",500,"55,012,500","1,857,338",283,"526,245,625","5,950",450,"2,677,500","612,340",500,"306,170,000",,, -   ,"3,237,465",450,"1,456,859,250","202,700",120,"24,324,000","80,920",30,"2,427,600"
27,Migori,"32,844,924",75,"2,463,369,300","4,808,496",569,"2,734,832,214",,, -   ,"1,228,376",588,"721,670,900","651,865",444,"289,265,094","375,801",450,"169,110,450",605,500,"302,500","4,503,316",367,"1,651,215,867",,, -   ,"107,685","1,000","107,685,000","2,153",325,"699,725","15,950,926",450,"7,177,916,700","35,617",350,"12,465,950","134,302",200,"26,860,400"
28,Mombasa,"1,901,222",100,"190,122,200","184,426",550,"101,434,300",,, -   ,"120,713",740,"89,327,620","9,480",740,"7,015,200","64,323",900,"57,890,700","1,584",800,"1,267,200","1,221,048",417,"508,770,000",,600, -   ,"5,037","1,000","5,037,000",157,500,"78,500","262,143",500,"131,071,500","1,499",100,"149,900","9,590",30,"287,700"
29,Murang'a,"253,100,272",44,"11,136,411,968","6,379,467",500,"3,189,733,500",,, -   ,"89,286",700,"62,500,200","35,019",700,"24,513,300","2,996,862",500,"1,498,431,000","53,554",400,"21,421,600","1,804,652",329,"594,031,283",,, -   ,"744,115",700,"520,880,500","28,764",300,"8,629,200","4,172,881",500,"2,086,440,500","43,229",35,"1,513,015","11,392",75,"854,400"
30,Nairobi,"19,653,060",70,"1,375,714,200","314,963",650,"204,725,625",,, -   ,"67,634",700,"47,343,800","50,002",677,"33,864,991","982,920",500,"491,460,000","26,222",400,"10,488,800","483,439",327,"157,923,407",,, -   ,"11,270",500,"5,635,000","1,127",300,"338,100","1,217,037",420,"511,155,540","2,119",800,"1,695,200","10,765",100,"1,076,500"
31,Nakuru,"318,978,431",48,"15,223,970,570","4,242,880",517,"2,192,797,269","193,094",49,"9,378,842","927,027",582,"539,361,164","2,699,731",582,"1,570,752,727","361,310",500,"180,654,750","30,812",340,"10,475,910","4,659,375",296,"1,377,104,226",,, -   ,"813,606",640,"520,707,840","53,925",333,"17,930,063","2,720,198",473,"1,285,911,957","214,052",85,"18,097,124","194,683",56,"10,884,550"
32,Nandi,"190,457,736",44,"8,443,626,296","1,426,465",592,"843,991,673",,, -   ,"60,541",650,"39,351,650","357,061",650,"232,089,650","20,412",450,"9,185,400",587,400,"234,800","395,286",517,"204,231,100",,, -   ,"238,266",700,"166,786,200","71,480",200,"14,296,000","521,118",450,"234,503,100","9,484",200,"1,896,800","42,832",200,"8,566,400"
33,Narok,"111,173,488",45,"5,002,806,960","32,170,042",600,"19,302,024,900","25,957",180,"4,672,260","1,024,465",700,"717,125,500","3,477,823",700,"2,434,476,100","111,602",600,"66,961,200","1,199",400,"479,600","695,163",367,"254,893,100",,, -   ,"49,699",600,"29,819,400","74,442",200,"14,888,400","46,245,402",450,"20,810,430,900","7,598",375,"2,849,250","96,457",60,"5,787,420"
34,Nyamira,"37,251,274",54,"2,011,568,796","1,182,440",600,"709,464,180",,, -   ,"205,818",800,"164,654,400","63,223",700,"44,256,100",,, -   ,"2,350",400,"940,000","774,899",600,"464,939,400",,, -   ,"134,831","1,000","134,831,000","40,449",400,"16,179,600","533,170",492,"262,319,640","7,833",100,"783,300","19,567",50,"978,350"
35,Nyandarua,"296,834,640",42,"12,467,054,880","4,730,300",600,"2,838,180,000","1,020,000",20,"20,400,000","164,880",800,"131,904,000","1,532,275",800,"1,225,820,000","307,080",600,"184,248,000","47,470",500,"23,735,000","499,030",433,"216,246,333",,, -   ,"309,120",800,"247,296,000","4,480","1,000","4,480,000","729,060",450,"328,077,000",,, -   ,,, -   
36,Nyeri,"112,462,901",43,"4,864,020,460","1,373,380",600,"824,028,000",,, -   ,"244,185",694,"169,403,344","429,040",688,"294,965,000","258,710",606,"156,842,938","3,595",613,"2,201,938","667,370",425,"283,632,250",,, -   ,"6,170",925,"5,707,250",59,975,"57,525","607,900",490,"297,871,000","28,865",50,"1,443,250","85,338",100,"8,533,800"
37,Samburu,"65,503,819",80,"5,240,305,528","5,172,848",600,"3,103,708,800",,, -   ,"1,820,298",800,"1,456,238,480","1,578,951",800,"1,263,161,040","36,828",600,"22,096,800",11,700,"7,700","190,928",433,"82,735,293","750,223",600,"450,133,500","194,505",700,"136,153,430","19,451",500,"9,725,300","122,538",500,"61,269,000","14,995",15,"224,925","129,620",14,"1,814,680"
38,Siaya,"24,989,680",75,"1,874,226,000","4,901,246",558,"2,736,529,017",,, -   ,"617,469",583,"360,190,250","327,410",542,"177,347,083","827,643",453,"375,198,160","9,206",533,"4,909,867","1,879,038",356,"668,102,400",,, -   ,"487,786","1,033","504,045,533","33,988",633,"21,525,733","5,792,173",550,"3,185,695,150","32,464",300,"9,739,200","78,155",45,"3,516,975"
39,Taita Taveta,"33,201,538",55,"1,826,084,590","620,040",600,"372,024,000",,, -   ,"97,500",700,"68,250,000","24,230",700,"16,961,000","13,515",250,"3,378,750","6,672",525,"3,502,800","126,800",450,"57,060,000","8,400",650,"5,460,000","51,367",925,"47,514,475","1,223",350,"428,050","824,514",600,"494,708,400","54,906",55,"3,019,830","12,173",10,"121,730"
40,Tana River,"38,174,690",77,"2,926,726,233","247,300",360,"89,028,000",,, -   ,"331,213",400,"132,485,200","95,030",400,"38,012,000",,500, -   ,749,380,"284,620","100,640",333,"33,546,667","175,600",600,"105,360,000","31,120",600,"18,672,000","2,630",500,"1,315,000","32,277,000",350,"11,296,950,000",,, -   ,,, -   
41,Tharaka Nithi,"41,832,006",64,"2,689,200,386","2,689,834",600,"1,613,900,400",,, -   ,"386,694",743,"287,258,400","125,811",743,"93,459,600","750,884",500,"375,442,000","17,866",800,"14,292,800","892,494",467,"416,497,200",,, -   ,"742,068",800,"593,654,400",,, -   ,"682,755",450,"307,239,750",,, -   ,,, -   
42,Trans-Nzoia,"196,544,616",51,"9,945,157,570","2,215,000",600,"1,329,000,000",,, -   ,"118,836",750,"89,127,000","607,103",700,"424,971,750","451,062",700,"315,743,400","5,190",500,"2,595,100","832,114",450,"374,451,165",,, -   ,"330,400","1,000","330,400,000",,, -   ,"903,376",450,"406,519,200",,, -   ,,, -   
43,Turkana,"281,170,578",101,"28,518,730,034","44,989,960",429,"19,281,411,429",,, -   ,"15,114,199",524,"7,924,158,461","11,972,093",510,"6,105,767,634","10,380",800,"8,304,000",,, -   ,"778,691",474,"368,951,117","10,552,460",457,"4,823,981,714","97,537",971,"94,750,423","32,293",700,"22,605,100","638,222",544,"347,375,335",,, -   ,,, -   
44,Uasin Gishu,"440,830,772",40,"17,633,230,884","7,119,913",600,"4,271,947,800","42,833",150,"6,424,950","559,844",700,"391,890,800","876,262",700,"613,383,400","706,428",700,"494,499,600","11,812","1,200","14,174,400","527,762",433,"228,696,867",,, -   ,"210,566",700,"147,396,200","23,619","1,000","23,619,000","23,445,591",600,"14,067,354,600",,, -   ,,, -   
45,Vihiga,"37,453,490",75,"2,809,011,750","3,240",500,"1,620,000",,, -   ,,, -   ,,, -   ,,, -   ,,, -   , -   , -   , -   ,,, -   ,"88,600","1,200","106,320,000",450,350,"157,500","711,765",600,"427,059,000",,, -   ,,, -   
46,Wajir,"139,286,665",96,"13,319,287,302","9,373,113",600,"5,623,867,500",,, -   ,"10,770,368",800,"8,616,294,720","7,634,524",800,"6,107,618,880",,, -   ,,, -   ,"52,243",833,"43,535,917","36,280,260",600,"21,768,156,000","13,843","1,000","13,843,000",,, -   ,"11,627",450,"5,232,150",,, -   ,,, -   
47,West Pokot,"147,498,813",70,"10,324,916,910","12,423,508",413,"5,124,697,091","175,181",200,"35,036,240","3,077,108",533,"1,638,560,170","1,394,095",533,"742,355,801","29,425",300,"8,827,560","6,420",300,"1,926,120","944,004",417,"393,335,000","76,834",500,"38,416,900","1,490,511",225,"335,365,043","149,051",300,"44,715,360","722,175",405,"292,481,037",,, -   ,,, -   
